message_class,relay_wrappers,candidate_layers,logical_bytes,w2_cells,w2_wire_bytes,w1_feasible,w1_wire_bytes
CHAFF,0,0,9,1,1052,True,1052
DISCOVER,0,0,190,1,1052,True,1052
COMMIT,0,0,63,1,1052,True,1052
READY,0,0,63,1,1052,True,1052
CANDIDATE,0,1,334,1,1052,True,1052
CANDIDATE,1,2,449,1,1052,True,1052
CANDIDATE,2,3,564,1,1052,True,1052
CANDIDATE,3,4,679,1,1052,True,1052
CANDIDATE,4,5,794,1,1052,True,1052
CANDIDATE,5,6,909,1,1052,True,1052
CANDIDATE,6,7,1024,2,2104,False,
CANDIDATE,7,8,1139,2,2104,False,
CANDIDATE,8,9,1254,2,2104,False,
CANDIDATE,9,10,1369,2,2104,False,
CANDIDATE,10,11,1484,2,2104,False,
CANDIDATE,11,12,1599,2,2104,False,
CANDIDATE,12,13,1714,2,2104,False,
CANDIDATE,13,14,1829,2,2104,False,
CANDIDATE,14,15,1944,2,2104,False,
CANDIDATE,15,16,2059,3,3156,False,
CANDIDATE,16,17,2174,3,3156,False,
