profile,route_hops,cell_loss_probability,runs,success_rate,mean_success_latency_ms,mean_data_cells,mean_ack_cells,mean_chaff_cells,mean_retransmitted_data_cells,mean_total_cells,mean_wire_bytes,mean_timeout_events,mean_trace_rate_cv,cleanup_rate
W2-no-recovery,2,0.02,30,0.8333333333333334,126.08,7.366666666666666,0.0,0.0,0.0,7.366666666666666,7749.733333333334,0.0,,1
T1-selective-recovery,2,0.02,30,1,22.766666666666666,8.433333333333334,8.3,0,0.43333333333333335,16.733333333333334,17603.466666666667,0.43333333333333335,0.5397014536013688,1
T1-fixed-schedule,2,0.02,30,1,21.366666666666667,8.1,8.1,1387.8,0.1,1404,1477008,0.13333333333333333,0.0,1
W2-no-recovery,5,0.02,30,0.6,134.16666666666666,17.033333333333335,0.0,0.0,0.0,17.033333333333335,17919.066666666666,0.0,,1
T1-selective-recovery,5,0.02,30,1,58.166666666666664,20.9,20.4,0,0.9,41.3,43447.6,0.9,0.5505608429369858,1
T1-fixed-schedule,5,0.02,30,1,61.766666666666666,20.866666666666667,20.3,3718.8333333333335,0.8666666666666667,3760,3955520,0.8666666666666667,0.0,1
W2-no-recovery,8,0.02,30,0.6333333333333333,144.1578947368421,27.9,0.0,0.0,0.0,27.9,29350.8,0.0,,1
T1-selective-recovery,8,0.02,30,1,95.73333333333333,35.2,33.36666666666667,0,1.2,68.56666666666666,72132.13333333333,1.2,0.5767053656430832,1
T1-fixed-schedule,8,0.02,30,1,97.33333333333333,35.5,33.2,7627.3,1.5,7696,8096192,1.4,0.0,1
W2-no-recovery,12,0.02,30,0.26666666666666666,156.625,39.3,0.0,0.0,0.0,39.3,41343.6,0.0,,1
T1-selective-recovery,12,0.02,30,1,156.1,56.46666666666667,50.93333333333333,0,2.466666666666667,107.4,112984.8,2.4,0.6754686868044195,1
T1-fixed-schedule,12,0.02,30,1,163.46666666666667,57.03333333333333,50.93333333333333,14796.033333333333,3.033333333333333,14904,15679008,3,0.0,1
W2-no-recovery,2,0.05,30,0.5333333333333333,126.125,6.8,0.0,0.0,0.0,6.8,7153.6,0.0,,1
T1-selective-recovery,2,0.05,30,1,24.4,8.866666666666667,8.433333333333334,0,0.8666666666666667,17.3,18199.6,0.9,0.5745033677434648,1
T1-fixed-schedule,2,0.05,30,1,24.266666666666666,8.566666666666666,8.233333333333333,1387.2,0.5666666666666667,1404,1477008,0.5666666666666667,0.0,1
W2-no-recovery,5,0.05,30,0.4666666666666667,135.71428571428572,15.066666666666666,0.0,0.0,0.0,15.066666666666666,15850.133333333333,0.0,,1
T1-selective-recovery,5,0.05,30,1,63.8,22.133333333333333,21.4,0,2.1333333333333333,43.53333333333333,45797.066666666666,2.1333333333333333,0.5799909646088837,1
T1-fixed-schedule,5,0.05,30,1,71.46666666666667,22.566666666666666,21.2,3716.233333333333,2.566666666666667,3760,3955520,2.6,0.0,1
W2-no-recovery,8,0.05,30,0.13333333333333333,142.75,18.266666666666666,0.0,0.0,0.0,18.266666666666666,19216.533333333333,0.0,,1
T1-selective-recovery,8,0.05,30,1,109.83333333333333,37.56666666666667,34.43333333333333,0,3.566666666666667,72,75744,3.466666666666667,0.6218481789977465,1
T1-fixed-schedule,8,0.05,30,1,125.1,38.333333333333336,34.93333333333333,7622.733333333334,4.333333333333333,7696,8096192,4.1,0.0,1
W2-no-recovery,12,0.05,30,0,,22.233333333333334,0.0,0.0,0.0,22.233333333333334,23389.466666666667,0.0,,1
T1-selective-recovery,12,0.05,30,1,179.23333333333332,60.4,53.333333333333336,0,6.4,113.73333333333333,119647.46666666666,5.966666666666667,0.7196820801982148,1
T1-fixed-schedule,12,0.05,30,1,183.53333333333333,60.63333333333333,53.2,14790.166666666666,6.633333333333334,14904,15679008,6.4,0.0,1
W2-no-recovery,2,0.1,30,0.4666666666666667,126.21428571428571,6.266666666666667,0.0,0.0,0.0,6.266666666666667,6592.533333333334,0.0,,1
T1-selective-recovery,2,0.1,30,1,32.46666666666667,9.8,8.933333333333334,0,1.8,18.733333333333334,19707.466666666667,1.8,0.6263706350205536,1
T1-fixed-schedule,2,0.1,30,1,40.1,9.933333333333334,9,1385.0666666666666,1.9333333333333333,1404,1477008,1.9333333333333333,0.0,1
W2-no-recovery,5,0.1,30,0.26666666666666666,134.875,10.7,0.0,0.0,0.0,10.7,11256.4,0.0,,1
T1-selective-recovery,5,0.1,30,1,88.86666666666666,24.7,22.266666666666666,0,4.7,46.96666666666667,49408.933333333334,4.733333333333333,0.630737156737498,1
T1-fixed-schedule,5,0.1,30,1,81,24.133333333333333,22.166666666666668,3713.7,4.133333333333334,3760,3955520,4.166666666666667,0.0,1
W2-no-recovery,8,0.1,30,0,,12.033333333333333,0.0,0.0,0.0,12.033333333333333,12659.066666666668,0.0,,1
T1-selective-recovery,8,0.1,30,1,162.76666666666668,42.1,35.86666666666667,0,8.1,77.96666666666667,82020.93333333333,7.833333333333333,0.7092807761202166,1
T1-fixed-schedule,8,0.1,30,1,157.76666666666668,41.666666666666664,36.2,7618.133333333333,7.666666666666667,7696,8096192,7.633333333333334,0.0,1
W2-no-recovery,12,0.1,30,0,,17.166666666666668,0.0,0.0,0.0,17.166666666666668,18059.333333333332,0.0,,1
T1-selective-recovery,12,0.1,30,0.9666666666666667,234.3793103448276,64.66666666666667,54.166666666666664,0,11.8,118.83333333333333,125012.66666666667,11.266666666666667,0.7458692981992321,1
T1-fixed-schedule,12,0.1,30,0.9333333333333333,246.96428571428572,65.4,54.3,14784.3,12.8,14904,15679008,12.233333333333333,0.0,1
