profile,observation_epochs,cross_traffic,training_per_class,testing_per_class,classes,random_baseline,classifier_accuracy,classifier_macro_f1,advantage_over_random,mean_boundary_alignment,mean_pairwise_lag_correlation,mean_delay_epochs,mean_peak_queue_cells,budget_match_rate,cleanup_rate
fixed,32,independent,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.005657714559521807,4.415178571428571,1,1
adaptive,32,independent,32,24,4,0.25,0.8333333333333334,0.8342079982921796,0.5833333333333334,1.0,0.47800523805870304,0.0038229194650260465,3.2901785714285716,1,1
hybrid,32,independent,32,24,4,0.25,0.3541666666666667,0.35287285645965705,0.10416666666666669,0.0,0.43710307660061476,0.0031854995358959275,2.7857142857142856,1,1
fixed,64,independent,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.00476481778055439,6.285714285714286,1,1
adaptive,64,independent,32,24,4,0.25,0.8645833333333334,0.8626399545325376,0.6145833333333334,1.0,0.3618750723969376,0.0035902502037789895,5.205357142857143,1,1
hybrid,64,independent,32,24,4,0.25,0.40625,0.4044065829291547,0.15625,0.0,0.2997813750303533,0.0031361802471990604,4.683035714285714,1,1
fixed,128,independent,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.005337199680934746,10.870535714285714,1,1
adaptive,128,independent,32,24,4,0.25,0.9375,0.9376627838924654,0.6875,1.0,0.2778037100743894,0.0031309693814871335,7.133928571428571,1,1
hybrid,128,independent,32,24,4,0.25,0.4270833333333333,0.425,0.17708333333333331,0.0,0.2044402150627121,0.003529026661928151,8.294642857142858,1,1
fixed,256,independent,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.005172550814125199,14.888392857142858,1,1
adaptive,256,independent,32,24,4,0.25,0.9895833333333334,0.9895788102475033,0.7395833333333334,1.0,0.23948100341027898,0.003723131989251555,10.964285714285714,1,1
hybrid,256,independent,32,24,4,0.25,0.3333333333333333,0.32065381898900214,0.08333333333333331,0.0,0.1436037113596614,0.0036986789837697444,12.066964285714286,1,1
fixed,32,correlated,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.004482890967237209,2.4598214285714284,1,1
adaptive,32,correlated,32,24,4,0.25,0.78125,0.7792653074395862,0.53125,1.0,0.7427056891588035,0.004041419819837524,3.1294642857142856,1,1
hybrid,32,correlated,32,24,4,0.25,0.2916666666666667,0.29337568058076224,0.041666666666666685,0.0,0.43336298402481327,0.001818831899158295,1.4330357142857142,1,1
fixed,64,correlated,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.0040587495713768984,3.96875,1,1
adaptive,64,correlated,32,24,4,0.25,0.9166666666666666,0.916177536231884,0.6666666666666666,1.0,0.7210815645971668,0.003565958654393038,4.696428571428571,1,1
hybrid,64,correlated,32,24,4,0.25,0.40625,0.40568332596196377,0.15625,0.0,0.3146296167003526,0.0031816663268307388,3.455357142857143,1,1
fixed,128,correlated,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.00423296756914088,6.482142857142857,1,1
adaptive,128,correlated,32,24,4,0.25,0.9895833333333334,0.9895788102475033,0.7395833333333334,1.0,0.7171231378326303,0.0037844841582720394,7.464285714285714,1,1
hybrid,128,correlated,32,24,4,0.25,0.3645833333333333,0.36075617778036495,0.11458333333333331,0.0,0.2302541039733305,0.0031201396307760122,6.241071428571429,1,1
fixed,256,correlated,32,24,4,0.25,0.25,0.1,0.0,0.0,0.0,0.005289709627876715,11.616071428571429,1,1
adaptive,256,correlated,32,24,4,0.25,0.96875,0.9682312925170068,0.71875,1.0,0.7104163571871522,0.003453395247382328,9.678571428571429,1,1
hybrid,256,correlated,32,24,4,0.25,0.3854166666666667,0.3830103571951398,0.13541666666666669,0.0,0.18072225252188973,0.004181142624399437,11.0625,1,1
