profile,scenario,observation_epochs,monitored_routes,unknown_test_routes,testing_unknown_to_monitored_ratio,classifier_accuracy,classifier_macro_f1,monitored_true_positive_rate,unknown_false_positive_rate,monitored_precision,rejection_threshold,mean_target_delivery_rate,mean_network_delay_us,mean_p95_network_delay_us,mean_peak_queue_cells,budget_match_rate,cleanup_rate
fixed,ideal,40,3,4,1.3333333333333333,0.14285714285714285,0.0625,0.3333333333333333,1.0,0.14285714285714285,0.0,1.0,14604,19104.0,38.957142857142856,1,1
adaptive,ideal,40,3,4,1.3333333333333333,0.5714285714285714,0.3416666666666667,0.16666666666666666,0.125,0.5,19.83215595052998,0.9822243727122449,14604,19104.0,40.81428571428572,1,1
hybrid,ideal,40,3,4,1.3333333333333333,0.6785714285714286,0.6142857142857143,0.5,0.1875,0.6666666666666666,16.130657858857134,1.0,14605.746677295918,19104.0,32.542857142857144,1,1
fixed,network-noise,40,3,4,1.3333333333333333,0.6071428571428571,0.2665505226480836,0.08333333333333333,0.0,0.3333333333333333,18.77570089893269,0.9980093676814988,15759.717206632653,22318.185714285715,36.02857142857143,1,1
adaptive,network-noise,40,3,4,1.3333333333333333,0.42857142857142855,0.46084471084471085,0.9166666666666666,0.9375,0.4230769230769231,23.93847105493433,0.9813790240382692,15774.500165816327,22235.157142857144,42.042857142857144,1,1
hybrid,network-noise,40,3,4,1.3333333333333333,0.32142857142857145,0.25555555555555554,0.25,0.625,0.21428571428571427,17.89741155457954,0.9986215538847117,15250.90617984694,21070.942857142858,28.9,1,1
fixed,partial-observation,40,3,4,1.3333333333333333,0.6071428571428571,0.2665505226480836,0.08333333333333333,0.0,0.3333333333333333,15.889272431695165,0.9982173382173383,15774.390797193877,22342.97142857143,43.5,1,1
adaptive,partial-observation,40,3,4,1.3333333333333333,0.8571428571428571,0.7970238095238095,0.6666666666666666,0.0,0.8888888888888888,18.981642518863534,0.9720615595587931,15737.871900510205,22214.114285714284,45.457142857142856,1,1
hybrid,partial-observation,40,3,4,1.3333333333333333,0.2857142857142857,0.22083333333333333,0.3333333333333333,0.75,0.2,15.018638118861414,0.9999101527403415,15250.08262755102,21080.9,30.228571428571428,1,1
fixed,route-churn,40,3,4,1.3333333333333333,0.5714285714285714,0.18181818181818182,0.0,0.0,0.0,18.599172235868174,0.9995975855130784,15783.33681122449,22316.242857142857,37.8,1,1
adaptive,route-churn,40,3,4,1.3333333333333333,0.5714285714285714,0.44789915966386556,0.3333333333333333,0.25,0.4,18.749698832314703,0.9588166912539487,15748.162519132653,22260.914285714287,49.08571428571429,1,1
hybrid,route-churn,40,3,4,1.3333333333333333,0.5714285714285714,0.25,0.08333333333333333,0.0625,0.25,16.60754823443398,1.0,15235.100165816326,21036.414285714287,29.857142857142858,1,1
