profile,scenario,traces,mean_total_public_cells,mean_chaff_cells,mean_target_delivery_rate,mean_dropped_cells,mean_expired_cells,mean_network_delay_us,mean_p95_network_delay_us,mean_peak_queue_cells,budget_match_rate,cleanup_rate
fixed,ideal,70,2240,1018.8285714285714,1.0,0,0,14604,19104.0,38.957142857142856,1,1
adaptive,ideal,70,2240,1050.142857142857,0.9822243727122449,0,5.128571428571429,14604,19104.0,40.81428571428572,1,1
hybrid,ideal,70,2240,1006.9857142857143,1.0,0,0,14605.746677295918,19104.0,32.542857142857144,1,1
fixed,network-noise,70,2240,1062,0.9980093676814988,0,0.24285714285714285,15759.717206632653,22318.185714285715,36.02857142857143,1,1
adaptive,network-noise,70,2240,1030.4857142857143,0.9813790240382692,0,4.328571428571428,15774.500165816327,22235.157142857144,42.042857142857144,1,1
hybrid,network-noise,70,2240,1065.9571428571428,0.9986215538847117,0,1.1285714285714286,15250.90617984694,21070.942857142858,28.9,1,1
fixed,partial-observation,70,2240,1052.2,0.9982173382173383,0,0.4857142857142857,15774.390797193877,22342.97142857143,43.5,1,1
adaptive,partial-observation,70,2240,1046.5,0.9720615595587931,0,8.1,15737.871900510205,22214.114285714284,45.457142857142856,1,1
hybrid,partial-observation,70,2240,1053.2857142857142,0.9999101527403415,0,0.07142857142857142,15250.08262755102,21080.9,30.228571428571428,1,1
fixed,route-churn,70,2240,1128.7571428571428,0.9995975855130784,0,0.05714285714285714,15783.33681122449,22316.242857142857,37.8,1,1
adaptive,route-churn,70,2240,1035.5857142857142,0.9588166912539487,0,14.2,15748.162519132653,22260.914285714287,49.08571428571429,1,1
hybrid,route-churn,70,2240,1078.6857142857143,1.0,0,0,15235.100165816326,21036.414285714287,29.857142857142858,1,1
