# host_kernel=6.17.9-1.qubes.fc37.x86_64 cpus=6 toolchain=cargo 1.97.1 (c980f4866 2026-06-30) (Fedora 1.97.1-1.fc43)
# measurement, not a derived artifact: not byte-reproducible on another host
relays,loss_percent,repeat,ok,setup_latency_ms,cells_sent,bytes_sent,retransmission_cells,cpu_seconds,cpu_us_per_cell,rss_kib,chaff_to_real,cleanup_ms_max,worst_jitter_us,missed_slots,fixed_trace_valid
0,0,1,1,81,52,54704,0,0.0,0.0,4112,1.8888888888888888,36,194,0,true
0,0,2,1,104,60,63120,0,0.0,0.0,4036,2.3333333333333335,37,1845,0,true
0,0,3,1,91,56,58912,0,0.0,0.0,4116,2.111111111111111,38,1225,0,true
0,5,1,1,84,68,71536,2,0.0,0.0,4064,2.4,35,1643,0,true
0,5,2,1,81,52,54704,0,0.0,0.0,3960,1.8888888888888888,38,908,0,true
0,5,3,1,81,53,55756,0,0.0,0.0,4188,1.9444444444444444,37,1406,0,true
2,0,1,1,217,322,338744,0,0.02,62.11180124223603,4192,4.962962962962963,53,1647,0,true
2,0,2,1,207,304,319808,0,0.02,65.78947368421052,4016,4.62962962962963,39,669,0,true
2,0,3,1,206,310,326120,0,0.01,32.25806451612903,4100,4.7407407407407405,40,1442,0,true
2,5,1,1,211,322,338744,2,0.02,62.11180124223603,4180,4.551724137931035,36,400,0,true
2,5,2,1,430,573,602796,7,0.05,87.26003490401396,4136,8.39344262295082,1000,1315,0,true
2,5,3,1,330,382,401864,3,0.0,0.0,3988,5.701754385964913,36,441,0,true
5,0,1,1,394,1059,1114068,0,0.1,94.42870632672333,4208,8.455357142857142,44,574,0,true
5,0,2,1,371,975,1025700,0,0.08,82.05128205128206,4164,7.705357142857143,36,2172,0,true
5,0,3,1,416,1003,1055156,0,0.07,69.79062811565304,4156,7.955357142857143,38,1786,0,true
5,5,1,1,556,1405,1478060,10,0.13,92.52669039145907,4120,10.330645161290322,1003,2062,0,true
5,5,2,1,603,1340,1409680,8,0.13,97.01492537313433,4156,9.806451612903226,36,1430,0,true
5,5,3,1,452,1075,1130900,3,0.08,74.4186046511628,4256,8.188034188034187,51,1646,0,true
12,0,1,1,903,4148,4363696,0,0.35,84.37801350048215,4208,14.83206106870229,48,1084,0,true
12,0,2,1,941,4227,4446804,0,0.37,87.53252898036432,4180,15.133587786259541,52,833,0,true
12,0,3,1,927,4264,4485728,0,0.42000000000000004,98.49906191369607,4144,15.274809160305344,53,703,0,true
12,5,1,1,1634,6177,6498204,24,0.5800000000000001,93.89671361502349,4144,19.938983050847458,1004,1193,0,true
12,5,2,1,1067,5141,5408332,17,0.43000000000000005,83.64131491927641,4156,17.166077738515902,1004,839,0,true
12,5,3,1,1019,5219,5490388,11,0.4999999999999999,95.80379383023565,4220,18.117216117216117,1002,1248,0,true
